"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTDP1",-0.268849230332256,7.13637127597561,-3.02105649457517,0.00429319181317552,0.0239906953549478,-2.56600484689911
"CX3CR1",-0.94504712284516,6.81066070560976,-3.02055816542695,0.00429897447089433,0.0240159228701466,-2.56724758222297
"TMEM230",0.433899506216129,10.5674376226585,3.02015784617642,0.0043036251114066,0.0240308345177074,-2.56824580584812
"PARG",0.413761594645161,8.25705495353658,3.02010997388085,0.00430418157588253,0.0240308345177074,-2.56836517309529
"PAPPA",1.12245236420968,7.44882630239024,3.01947602214864,0.00431155696651587,0.0240649177223335,-2.56994578777095
"SLK",-0.506983305809674,9.41047317912195,-3.01920419084753,0.00431472308523548,0.0240754937502031,-2.57062347288448
"DPP3",0.395698753916129,8.80139709031707,3.01899038506512,0.00431721489371158,0.0240823021081325,-2.57115647110776
"TYW1",0.266527927167743,8.42345433646341,3.01825609377101,0.00432578301894541,0.0241229914054147,-2.5729868095727
"TP53",0.561879995658066,7.51807976287805,3.01798467202598,0.00432895416212482,0.0241335690086311,-2.57366330012397
"INTS2",0.636398401980645,7.24928890314634,3.01742021864991,0.00433555591976743,0.024163260155549,-2.57507001793098
"BNIPL",-0.161985143887097,4.60210401029268,-3.01653983673433,0.00434587160651211,0.0242136265031263,-2.5772637520602
"OCLN",-0.929074039348388,8.18441949668293,-3.01632025900487,0.00434844805086782,0.0242150359206771,-2.57781083211319
"TRIP10",-0.422866750335483,7.60362659185366,-3.01630033818889,0.00434868186536185,0.0242150359206771,-2.57786046376873
"TIMM17A",0.543657820248388,10.2742940441951,3.01598395877693,0.00435239685531386,0.0242285983674115,-2.57864867836391
"TGFBR3",-0.851578759429027,7.70437103531707,-3.01587431315295,0.00435368503134549,0.0242286474062947,-2.57892183268507
"TRIM37",0.476564252193551,9.72636387173171,3.0145039012209,0.00436981560477285,0.0243112714227932,-2.58233533484677
"LRRC8E",-0.325601771229032,4.77786497402439,-3.01351815835216,0.00438145307795057,0.0243688570896411,-2.58479007104676
"TMEM229B",-0.305790502009673,6.57947617956098,-3.01300134377084,0.0043875661053525,0.0243956919856623,-2.58607685936636
"SLC9A3R2",-0.205017003548385,3.82679696865854,-3.01233800866277,0.00439542395537938,0.0244267064012977,-2.58772825544394
"CCL17",-0.287859330706451,4.92494778604878,-3.01223410036353,0.00439665604678028,0.0244267064012977,-2.58798691785906
"STK38",-0.657992134206447,9.23993815958537,-3.01220395765685,0.00439701352423824,0.0244267064012977,-2.58806195204806
"MRPL12",0.631094072587096,7.96011580282927,3.01177240686284,0.00440213449462404,0.0244410516954124,-2.58913615834521
"PDE9A",0.480379565551613,6.1546454157561,3.0117688299346,0.00440217696340963,0.0244410516954124,-2.58914506154351
"EDEM1",-0.394315775916123,8.85213837997561,-3.01154376104492,0.00440484997488157,0.0244452201086176,-2.58970525857008
"SUGT1P1",-0.190644166635483,6.89888484429268,-3.01140866460698,0.0044064551680448,0.0244452201086176,-2.59004150114889
"TP53I3",-0.606573290790324,8.19838520778049,-3.01137963529811,0.00440680016109517,0.0244452201086176,-2.59011375116972
"GATA3",0.633137715506452,8.2156588157561,3.01110974756741,0.0044100088023516,0.0244550809262233,-2.59078544399266
"RBM39",0.403163124580649,11.6249977031707,3.01101292494796,0.00441116044165059,0.0244550809262233,-2.59102640544282
"RAP1B",0.390071932322583,11.4901474546341,3.01086172767904,0.00441295939526148,0.0244578943598074,-2.59140267865909
"TRIQK",-0.279234427941934,8.04598765429268,-3.01064149382409,0.00441558098251738,0.0244652640862826,-2.59195073649772
"FGD2",-0.747328048419352,10.8010213413415,-3.01025876419975,0.00442014034186972,0.0244706152448808,-2.59290310871115
"HMGB4",-0.26740385062903,4.7681921132439,-3.01025602301751,0.00442017301280363,0.0244706152448808,-2.59290992950383
"DAZL",-0.177032791870968,4.29587426785366,-3.01023503139965,0.00442042321009279,0.0244706152448808,-2.59296216211812
"VPS18",-0.297756298858064,6.88906718226829,-3.0100719771374,0.0044223670926495,0.0244742220925179,-2.59336787570994
"TBC1D15",0.392435018299999,8.38437328087805,3.00981041205803,0.0044254870672122,0.0244843336485144,-2.59401867589352
"SLC39A2",-0.251933788296775,7.47190912134146,-3.00951380059378,0.00442902757902279,0.02449676527206,-2.59475663144399
"LINC00868",-0.248479671480643,7.08416745134146,-3.00834614318848,0.00444299121404946,0.0245668226603412,-2.59766125891178
"SLC25A44",0.332264956203227,7.43782891768293,3.00795055630456,0.00444773127436724,0.0245842319933738,-2.59864514549685
"TMEM263",0.675796409819355,8.64993944878049,3.00786675370954,0.00444873603555244,0.0245842319933738,-2.59885356510848
"PGPEP1",-0.24675868064516,7.63503518841463,-3.00704874530626,0.00445855484215998,0.0246164900160204,-2.60088778271095
"SLC25A43",0.807250117712903,7.919040426,3.007015800696,0.00445895071230092,0.0246164900160204,-2.60096970175482
"SDF2",0.267268507661294,8.43767432126829,3.00695652267383,0.00445966309397691,0.0246164900160204,-2.60111709920222
"ACP6",-0.358097205558066,8.41206100258537,-3.00691317539386,0.00446018409342477,0.0246164900160204,-2.6012248829764
"CLIP2",0.520739692980646,6.69826310736585,3.00680314618309,0.00446150681265573,0.0246164900160204,-2.60149846809905
"EPHX3",-0.954160826558066,7.33273592856098,-3.00673115212748,0.0044623724904952,0.0246164900160204,-2.60167747622385
"ISM1",-0.346924591103224,4.74446639002439,-3.0058230401335,0.00447330544478662,0.0246696151757044,-2.6039351979323
"JPH1",0.810777400667742,8.31212735043902,3.00570221555973,0.00447476197145709,0.0246704635270609,-2.60423555572371
"SNX32",-0.198557969335482,5.94010913007317,-3.00507383639713,0.00448234419247651,0.0247050740154599,-2.60579751930915
"PCDHB19P",-0.168349573316128,3.63364896202439,-3.00490810108831,0.00448434601582698,0.0247082266117239,-2.60620945326718
"ACER3",0.631427905251615,8.30527886829268,3.004810476417,0.00448552556189179,0.0247082266117239,-2.6064520919306
"LOC101929305",-0.172933936474193,4.50408226012195,-3.00428897443279,0.00449183152272149,0.0247357677747309,-2.60774816014201
"BIN3",-0.260987550483868,8.10318820363415,-3.00406639608036,0.00449452545539925,0.0247434078704509,-2.60830128162471
"HOXC4",0.408000205096775,7.69425853695122,3.00392744695582,0.00449620796716678,0.0247454770363861,-2.60864656586296
"C5orf64-AS1",-0.245276774987097,6.52371195426829,-3.00352267723109,0.00450111262627027,0.02476527336325,-2.60965234794586
"SPATA5L1",0.544042669203226,8.18106918195122,3.00313846050536,0.00450577288666412,0.0247837138912707,-2.61060697944415
"DCUN1D4",0.790638195383872,7.8689797542439,3.00288517694229,0.00450884750238416,0.0247930863269187,-2.61123624954696
"MYRF",-0.407984702396774,6.66188627390244,-3.00278244135957,0.00451009517352597,0.0247930863269187,-2.61149148121443
"NKAPL",-0.275714376664513,5.10345639187805,-3.00236610381884,0.00451515469828332,0.0248133944688824,-2.61252575446886
"ATP6V1C1",0.611062366877421,7.926165719,3.00226288351757,0.00451640990253656,0.0248133944688824,-2.61278216205537
"SPSB3",-0.350655956700002,6.99108803109756,-3.00176744712437,0.00452243918659996,0.0248393136066793,-2.61401278788175
"SFMBT2",0.669605557741934,7.03296367802439,3.0016304053675,0.00452410826911489,0.0248407742980906,-2.61435316616445
"HNRNPH3",0.544543908858069,9.66647000273171,3.00153024621564,0.00452532851031854,0.0248407742980906,-2.61460193078388
"EPSTI1",0.765638429196777,9.79326565180488,3.00084910082731,0.00453363511638274,0.024879160195322,-2.61629354652845
"USP4",-0.498431575632258,9.15014685095122,-3.00022438361341,0.00454126615587305,0.0249138176303371,-2.61784480817223
"MAGED2",-0.358163755993548,9.18998617346342,-3.00000445086527,0.00454395554375504,0.0249193607799002,-2.61839088337483
"MAPK14",-0.302616846735487,8.93737884607317,-2.99982123767337,0.0045461970575793,0.0249193607799002,-2.61884576737809
"ARHGEF10L",-0.386606853029035,7.38764449926829,-2.99981903004777,0.00454622407300429,0.0249193607799002,-2.61885124839035
"SH3GLB2",-0.21597110665161,8.05389521321951,-2.99909369084825,0.00455510844307487,0.024958865788097,-2.62065195463212
"PARP3",-0.312893463999998,7.15534576402439,-2.99901550214423,0.00455606711529472,0.024958865788097,-2.62084604705619
"KIAA0586",-0.232894668993547,7.09928033360976,-2.99880123404569,0.00455869522829672,0.0249660411317187,-2.62137792081024
"TBC1D12",0.3892019831,7.47756000804878,2.99839721241877,0.00456365464049922,0.0249859761728171,-2.62238075021596
"ADAMDEC1",1.0648104819129,9.06730897397561,2.99828563966486,0.00456502510079381,0.0249862558840558,-2.6226576717625
"CCR5",0.758416893874196,10.091707138561,2.99791574514134,0.00456957131839509,0.0250039126344311,-2.62357569615381
"LOC101927539",-0.207742475403223,6.97112218053659,-2.99735634394074,0.00457645475387834,0.0250284758357214,-2.62496391106913
"HS2ST1",0.562530439451613,7.8440668912439,2.99733613967693,0.00457670354942988,0.0250284758357214,-2.6250140470497
"ZUP1",0.437050959045163,7.3464282797561,2.99650405926972,0.00458696082840436,0.0250773279931645,-2.62707862990421
"MEF2C",-0.970381420551611,8.29829520680488,-2.9962331101273,0.00459030554402687,0.0250883712533278,-2.627750837964
"NRP1",1.03695252460323,6.722360419,2.99573347951425,0.00459647920558639,0.0251086921101932,-2.62899028871345
"CLDND1",0.483376224832259,9.77828154382927,2.99571762552284,0.00459667523212799,0.0251086921101932,-2.62902961608906
"LDB2",0.421608962512904,5.91739235634146,2.99547137035752,0.00459972105929436,0.0251180846081074,-2.62964045901536
"CTSK",0.597970725370967,9.08112643648781,2.99520478064127,0.00460302053047,0.0251288563868668,-2.63030170617886
"MRPL21",0.585923685367744,8.68823529802439,2.99485102767851,0.00460740221356259,0.0251423312386355,-2.63117909431397
"DRD4",-0.252802099135484,5.52372355963415,-2.99467430896743,0.00460959256632648,0.0251423312386355,-2.63161737225244
"LY6G5C",-0.225539777899999,6.36233484392683,-2.99466994495267,0.00460964666877921,0.0251423312386355,-2.63162819518341
"RNF123",-0.213158324861286,7.53665878017073,-2.99457698597115,0.00461079926031161,0.0251423312386355,-2.6318587347759
"LOC100996740",-0.819427403064516,8.95500424614634,-2.9940819450391,0.0046169417913069,0.0251677147179753,-2.63308636621574
"APIP",0.506502205187095,9.04262521117073,2.99394983153044,0.00461858236987318,0.0251677147179753,-2.63341396707077
"HAUS8",0.452901856003225,6.93665400258537,2.99388069330661,0.00461944114265932,0.0251677147179753,-2.63358540490874
"CCDC120",-0.173324026432256,5.4363007257561,-2.99376222346903,0.00462091301662197,0.0251684931575459,-2.63387916145346
"CREG1",0.47360597061291,10.2617072952439,2.9936217610717,0.00462265869707425,0.0251707620486464,-2.63422744087925
"MINDY2",-0.558897906606453,6.69453084378049,-2.99277504039842,0.0046331949369174,0.0252208812059045,-2.63632668086366
"PTMA",0.263089962870968,11.9661947402439,2.99217273567863,0.00464070347394633,0.025254494939539,-2.63781971905378
"RAPGEF5",0.62902636510645,8.15089282514634,2.9920060789522,0.00464278308909472,0.0252585539044171,-2.63823280629638
"ATP6V1G2",-0.202648883577418,6.71090279029268,-2.99178951928107,0.00464548672095262,0.0252660044576107,-2.63876956453259
"AURKB",0.592603572570968,6.29245990414634,2.99161436766868,0.00464767447551069,0.0252706457700894,-2.63920367181823
"PRKRA",0.540363281816134,8.43195723512195,2.99109434757124,0.00465417555147221,0.0252987303656087,-2.64049242799456
"RAB20",-0.392466938687095,8.26992238219512,-2.99083832376575,0.00465737938775222,0.0253088811607608,-2.64112687435502
"TBC1D2B",0.484250271474195,8.53766820646342,2.9906537080562,0.00465969091941411,0.0253141786092554,-2.64158434447297
"ASCC2",-0.373667091109676,6.36437611419512,-2.98960113828563,0.00467289047893081,0.0253786062202442,-2.64419222348064
"ZNF837",-0.309955894700001,5.50889191570732,-2.98902283213643,0.0046801575412337,0.0254107865584529,-2.64562480216463
"ATRAID",0.458109890619351,10.6211791877561,2.98889431806754,0.00468177390282153,0.0254122769193563,-2.645943132813
"COG1",-0.324315905580645,7.40389316380488,-2.98868562972322,0.00468439975677089,0.0254192442961969,-2.64646003727043
"SIAH3",-0.189853958548387,3.44821769,-2.98848878291533,0.00468687787862093,0.0254254062633409,-2.64694758998784
"MPP1",0.249399106396773,7.9136755317561,2.98826773556307,0.00468966212881654,0.0254332249128086,-2.64749505839848
"ABCA11P",0.469218429080644,6.51757396329268,2.98778344540209,0.004695767534473,0.0254590453958917,-2.64869441007719
"ARID2",0.493692601819358,8.80237454970732,2.98759977353446,0.00469808501952108,0.0254643200056354,-2.6491492435636
"LRP6",0.919216807232258,9.2754970987561,2.98737750243395,0.0047008909659685,0.0254722383729647,-2.64969963780049
"RGL2",-0.562253383593548,8.87580711541463,-2.98711376744287,0.00470422239065037,0.0254829987511833,-2.65035267209216
"ZNF446",-0.235174376806453,7.84644271529268,-2.98591796988802,0.00471935515914009,0.0255576631409194,-2.65331312302307
"RPS7",0.28672512409678,13.06791738,2.98573129922929,0.00472172158395233,0.0255631684839592,-2.65377519731371
"C1QA",0.920308185732257,8.42822695387805,2.98491752683549,0.00473205078519895,0.0256117684395821,-2.65578934833
"TNNT3",-0.286713543835487,7.72392506670732,-2.98419442392732,0.00474124689546751,0.0256454322869415,-2.65757878966778
"CELSR1",-0.215893410790322,4.76230241117073,-2.9841463044137,0.00474185945295316,0.0256454322869415,-2.65769785973101
