"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"4930404A05Rik",0.626879475494904,4.59946905633532,4.93038480748783,0.00208443675824865,0.766093052588838,-1.66676174643556,"NOT"
"D530008I23",0.72272802987846,4.41550588358027,4.90839135267741,0.0021342878662279,0.766093052588838,-1.67882328573422,"UP"
"Tcf24",-3.45075063258388,6.90153671693788,-4.87967397445715,0.00220140058057562,0.766093052588838,-1.69468909663477,"DOWN"
"Ptpla",-0.779770559521641,7.8408713505966,-4.86531296036247,0.00223584587438251,0.766093052588838,-1.70267317223849,"DOWN"
"Txnrd3",-0.752347349108556,6.3851984370428,-4.86131969168281,0.00224553070694534,0.766093052588838,-1.70489918341999,"DOWN"
"Gm3297",0.731964420764587,4.35896727301125,4.84379716675447,0.00228858640813068,0.766093052588838,-1.71469757248466,"UP"
"Gal3st1",1.81792409132166,5.51970622785101,4.84222206710831,0.00229250170458843,0.766093052588838,-1.71558079729689,"UP"
"O3far1",1.01459909107276,5.53402686042029,4.82584186671534,0.00233366586808986,0.766093052588838,-1.72478987076986,"UP"
"Zfp518a",0.859498591183401,8.47376396939926,4.82450054932121,0.00233707310806629,0.766093052588838,-1.72554591281996,"UP"
"Olfr572",-0.879228747348297,2.11522106050916,-4.81665138788036,0.00235712357947652,0.766093052588838,-1.72997605231504,"DOWN"
"C130030K03Rik",-0.662160771806904,3.24882915675099,-4.79781093819874,0.00240604069321293,0.766093052588838,-1.74065106965886,"NOT"
"Lrtm1",2.55940423321448,8.89025705173861,4.78247496879722,0.00244669749723757,0.766093052588838,-1.74938363724297,"UP"
"Rdh18-ps",-0.979552900770009,5.07081600493672,-4.78228103114343,0.00244721653410358,0.766093052588838,-1.74949431762395,"DOWN"
"LOC100503594",0.720090189892421,7.30004243028027,4.77722609728854,0.002460788600837,0.766093052588838,-1.75238136910694,"UP"
"Cyp2b23",1.63748730488026,2.60869364723522,4.75276761764394,0.00252765706576003,0.766093052588838,-1.7664103772953,"UP"
"0610007N19Rik",1.04643858286796,5.54732753618791,4.74853914355321,0.00253942217384389,0.766093052588838,-1.76884585975175,"UP"
"Chrm3",0.825396805216648,7.45589871004844,4.7413618438862,0.00255953228828301,0.766093052588838,-1.77298661562665,"UP"
"Olfr959",0.867153377344216,3.48976343860192,4.73206586043821,0.00258584371294283,0.766093052588838,-1.77836249380529,"UP"
"Psg22",1.4518384034074,1.35864816089653,4.72107312282071,0.00261734831833223,0.766093052588838,-1.78473829502082,"UP"
"Gtse1",0.59624728426812,5.58681661332454,4.70742986699688,0.00265704697625676,0.766093052588838,-1.79267964142537,"NOT"
"Iah1",-0.572327788864508,9.64619228566695,-4.67943840729033,0.00274061803853486,0.766093052588838,-1.80907100152905,"NOT"
"Mrgprb3",1.21075901572313,3.78882299250586,4.67181247690242,0.00276389171903948,0.766093052588838,-1.81355963604342,"UP"
"Olfr995",-0.996233314737635,2.15993316199753,-4.66548894747089,0.00278335796572184,0.766093052588838,-1.81728917270033,"DOWN"
"Olfr1404",-1.39502449683651,2.69397715558134,-4.6390628457817,0.00286638013664407,0.766093052588838,-1.83294874174787,"DOWN"
"A130030D18Rik",0.937772254837753,2.68601114330899,4.63763081401449,0.00287095740848979,0.766093052588838,-1.83380074526849,"UP"
"Vmn1r14",1.1040618530245,2.77892965391079,4.62541831819191,0.00291032581061388,0.766093052588838,-1.84108099881687,"UP"
"LOC100048471",-1.2951730750532,3.4273105857149,-4.62509112180979,0.0029113888180053,0.766093052588838,-1.84127640314723,"DOWN"
"Tmprss2",1.15558745109014,7.99869937504166,4.59064805652148,0.0030257492939728,0.766093052588838,-1.86194927351757,"UP"
"Dmrta1",-1.70716491204372,4.13717366986165,-4.58889698503448,0.00303169573185779,0.766093052588838,-1.8630057502967,"DOWN"
