"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UBR5",0.078236666666669,9.98091166666667,1.00285352028306,0.337331080881636,0.437052450001196,-7.31724050637728
"OR7G2",-0.0855733333333317,5.16377,-1.00257856740931,0.337458011560773,0.43718683382189,-7.31751562652167
"FBXO17",0.081703333333337,10.0591116666667,1.00243343485695,0.33752502541434,0.437243580477954,-7.3176608220159
"ELFN1",-0.0770033333333338,8.17623833333333,-1.00231288336796,0.337580696558641,0.437285626535217,-7.31778141246721
"OR51D1",-0.122656666666666,6.049215,-1.00135982928775,0.338021057363364,0.437825940834331,-7.31873434898396
"SLC9C1",0.0714400000000008,4.24836666666667,1.00130304575455,0.33804730759221,0.437829835885208,-7.318791101657
"ACSM2A",0.0831566666666665,5.82656166666667,1.0008189520102,0.338271157912707,0.438089639161338,-7.3192748233525
"LYPD2",-0.0785566666666657,7.85631833333333,-1.00067851655953,0.338336117120339,0.438143643489332,-7.31941511437011
"CST4",-0.121389999999998,8.602245,-1.00045720423897,0.338438504906847,0.4382461068901,-7.31963616575422
"SYTL1",0.0985666666666667,7.36781,1.00002979447755,0.338636305648267,0.43847101724809,-7.32006295615311
"UBR1",0.0904333333333334,10.25485,0.999981313068186,0.338658747674389,0.43847101724809,-7.32011135770162
"SNORD115-4",0.0687366666666662,3.02871166666667,0.999555297690404,0.338855996819524,0.438696248253565,-7.32053658715024
"ALDH1A1",-0.0804666666666662,5.22326,-0.999440775407201,0.338909036047179,0.43873476132367,-7.32065087237775
"MXRA5",-0.11141,7.085015,-0.999247991912077,0.338998334460359,0.438798495748096,-7.32084323214416
"SREBF2",0.0790033333333326,9.69680833333333,0.999233910080871,0.339004857919098,0.438798495748096,-7.32085728181078
"BLVRA",-0.0660533333333326,8.48777333333333,-0.998868669309689,0.339174089085271,0.438986974957777,-7.32122163061308
"GPR52",0.110150000000002,7.336845,0.998819056963156,0.33919708130331,0.438986974957777,-7.32127111322462
"PKP1",-0.0889633333333295,6.80669166666667,-0.998469448706594,0.339359135163494,0.439166531263721,-7.32161974910936
"OR8K5",0.0732833333333343,4.26062833333333,0.99745712735615,0.339828695515462,0.439743981412705,-7.32262868025797
"OR52B2",0.0893833333333349,6.35563833333333,0.997402593565636,0.339854004220518,0.439744165301979,-7.3226830071642
"HTR1E",-0.0999333333333308,5.63196,-0.997356219750868,0.339875527028269,0.439744165301979,-7.32272920309994
"TBC1D10C",-0.120626666666666,7.58497666666667,-0.997031357139716,0.340026328737781,0.439896817870374,-7.32305276932486
"HTATSF1P2",-0.0698100000000004,9.14273166666667,-0.997001444125685,0.340040216860992,0.439896817870374,-7.32308255854336
"DRC7",-0.0902766666666652,7.14616166666667,-0.996691837525957,0.340183986483666,0.440052585729489,-7.32339083998919
"SPINK6",0.0841200000000004,4.72164,0.996590431220838,0.340231085397241,0.440063999286852,-7.32349179487836
"ZNF440",0.091940000000001,8.62675333333333,0.996572243911228,0.340239533132331,0.440063999286852,-7.32350990031881
"RIPPLY1",-0.0778733333333337,6.94515333333333,-0.996486276968973,0.340279465573257,0.440085430346958,-7.32359547655061
"SHE",-0.0727433333333334,7.57865833333333,-0.996108594553029,0.340454943107288,0.440282147694081,-7.32397136938628
"MAMDC2",-0.110389999999999,6.45457166666667,-0.995408135205382,0.340780563077484,0.440641440140732,-7.32466819461137
"IL12RB2",-0.0914699999999993,5.42132833333333,-0.995406330730759,0.340781402210495,0.440641440140732,-7.32466998919514
"FASLG",-0.0827099999999987,6.286145,-0.99535999856484,0.340802948527384,0.440641440140732,-7.32471606647009
"MYRFL",0.0987099999999987,5.40206833333333,0.995158829142936,0.340896511915945,0.440732161630793,-7.32491610839852
"FMNL1",0.0809766666666665,8.319115,0.995055085133128,0.340944770319264,0.440764301592477,-7.32501925774948
"UBA5",-0.0716333333333345,10.1155166666667,-0.994935547933497,0.341000381393034,0.440805941826831,-7.32513809862121
"AAGAB",-0.0983433333333341,8.98343833333333,-0.994784498405651,0.341070662093852,0.440866538246201,-7.32528825119114
"KCNIP4",0.0707333333333349,5.95245666666667,0.99471820516478,0.341101510515812,0.440876159845365,-7.32535414475543
"OR6C75",0.0874233333333336,5.19387833333333,0.994426002786139,0.341237506144218,0.44102167432169,-7.32564454172758
"TNF",-0.101616666666667,6.31961833333333,-0.994051962766479,0.341411648040319,0.441216466392391,-7.32601616662448
"COMMD4",-0.0711233333333343,10.0274716666667,-0.993634964179593,0.341605866585862,0.441437175610749,-7.32643033492623
"ATF1",-0.0737333333333332,11.6764,-0.993451110056578,0.341691522878449,0.441484677949071,-7.3266128950288
"SNORA24",0.120966666666664,10.5556166666667,0.993429208566474,0.341701727666745,0.441484677949071,-7.3266346404868
"TREH",-0.0842766666666677,6.786155,-0.99340515050903,0.341712937542998,0.441484677949071,-7.32665852668616
"FHL3",0.0773133333333345,9.32016333333333,0.993152906984204,0.341830486817243,0.44160626021373,-7.32690893919324
"HS2ST1",0.077536666666667,9.281995,0.992639528278821,0.342069820083945,0.441885146133677,-7.32741842705434
"SLC25A40",-0.0693333333333381,10.7301,-0.992373111473323,0.342194069721732,0.441983155627778,-7.3276827378756
"CLEC4D",0.090720000000001,5.58867333333333,0.992332717815682,0.34221291110987,0.441983155627778,-7.32772280704649
"MYBPHL",0.109340000000001,6.56023,0.992325921313353,0.342216081373422,0.441983155627778,-7.32772954881767
"YIF1A",0.0865333333333353,10.4223666666667,0.9919064601202,0.342411782643715,0.4421757910408,-7.32814555739883
"CSF2RB",-0.075166666666667,6.85610333333333,-0.991905605286708,0.342412181552909,0.4421757910408,-7.32814640504589
"MIR154",-0.07063,3.71382833333333,-0.99171642101337,0.342500472979458,0.442259487901977,-7.32833398384683
"HECW1-IT1",-0.0721799999999995,5.63417,-0.991613973346911,0.342548291756259,0.442290915882695,-7.32843554961792
"CLECL1",0.0753133333333347,4.68034,0.991542613913286,0.34258160257167,0.442303608474473,-7.32850628958424
"FNTA",0.0845066666666643,9.89163666666667,0.991294393546316,0.342697491029989,0.442422907170989,-7.3287523219843
"DCP1A",-0.0694333333333343,11.6354833333333,-0.99117166644832,0.342754800079133,0.442466568605443,-7.32887394824697
"NFYC",0.0703999999999994,10.5293333333333,0.990969792667314,0.342849082911263,0.44255795071606,-7.32907398385086
"NTF3",-0.0785966666666651,5.751405,-0.990493003965257,0.343071836601187,0.442815142254115,-7.32954629573142
"PART1",-0.0865933333333313,9.07165666666667,-0.990104296897825,0.343253516900478,0.443000546729084,-7.32993121223587
"ANKRD53",-0.115229999999999,7.47365166666667,-0.990040918610825,0.343283146327911,0.443000546729084,-7.3299939604831
"SYCP1",0.0692399999999989,4.04823333333333,0.990034746753965,0.343286031778119,0.443000546729084,-7.33000007080622
"FMO1",-0.0780266666666671,4.52394,-0.989672635701703,0.343455355894909,0.443188692902617,-7.33035851576631
"NPRL3",-0.0696999999999992,10.4260166666667,-0.989597053798319,0.343490705868285,0.443203947286861,-7.33043331861235
"SHISA6",-0.077233333333333,6.71649,-0.989279187447132,0.343639402287912,0.443365439787493,-7.33074785620494
"GIPC3",-0.0683399999999983,7.84680666666667,-0.989121283703437,0.343713286350951,0.443415047923816,-7.33090407489147
"PLEK",-0.075143333333334,4.51419166666667,-0.989096398699672,0.343724931240833,0.443415047923816,-7.33092869243202
"OR7A10",0.0974699999999995,3.96056166666667,0.988936158833165,0.343799922057161,0.443481416954786,-7.33108719762208
"KCNAB3",-0.0697566666666667,6.943365,-0.988818171262535,0.34385514678996,0.443522281572342,-7.3312038941695
"NPM1",-0.0664333333333342,13.36405,-0.98874013801682,0.343891674227171,0.443539025499297,-7.33128106716651
"FAM49A",0.0715433333333335,6.22399833333333,0.988677442953408,0.343921023892164,0.443546510136704,-7.33134306737568
"RSBN1L",-0.0896366666666673,9.11555833333333,-0.988501550798444,0.344003374647821,0.44362234327658,-7.33151699252513
"ZKSCAN2",0.112130000000001,8.64463166666667,0.988409143522567,0.344046644457731,0.443647771197308,-7.33160835602243
"MIR152",0.101060000000001,7.00911,0.988186991025735,0.344150683814812,0.44375155253745,-7.33182796993796
"CACNA1A",-0.0809366666666653,6.78890833333333,-0.98774120365582,0.34435952580421,0.443980664690159,-7.33226853844205
"ACOT6",-0.125183333333332,5.926545,-0.987707091286412,0.344375510526512,0.443980664690159,-7.33230224459518
"RNF7",0.076053333333336,9.89127666666667,0.987522083981165,0.344462212538809,0.444062051573608,-7.33248503180975
"C3orf56",0.107116666666667,5.59934833333333,0.987291450215006,0.344570319211905,0.444171019160655,-7.33271285778762
"VSIG10L",-0.0703700000000005,8.92162833333333,-0.986886110850037,0.344760376715252,0.444358963188194,-7.3331131543943
"TMEM74B",-0.132329999999999,6.12693166666667,-0.986879881545895,0.344763298136405,0.444358963188194,-7.33311930512586
"HTN1",0.0717766666666675,4.067505,0.986288322055351,0.34504080991906,0.444686216231891,-7.3337032547675
"ENDOU",-0.0934899999999974,6.21715833333333,-0.98561883889499,0.34535507298406,0.445060786057381,-7.33436377157504
"GZF1",0.0677700000000012,8.716615,0.985531039861554,0.345396302278151,0.445083468738099,-7.3344503668277
"DMRTB1",-0.0912566666666654,7.97080833333333,-0.985413900737057,0.345451314869171,0.445123908488309,-7.33456588982754
"CLBA1",0.0699233333333344,7.70787833333333,0.984590272811857,0.345838298816004,0.445570347444647,-7.3353778293014
"CHRNB2",0.0721566666666646,8.685385,0.98457581481198,0.345845094759685,0.445570347444647,-7.3353920770359
"CD1E",-0.117123333333333,6.366545,-0.984451228685584,0.345903660149684,0.445615322544084,-7.335514844011
"EXOG",0.0935299999999977,8.92519833333333,0.984361811910437,0.345945697586204,0.44563900057658,-7.33560294712884
"MIR9-1",-0.106749999999999,5.277045,-0.984279948166186,0.345984187375342,0.445658105688548,-7.33568360229362
