"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SDC4",0.46430816326531,9.7783306122449,5.97541951871699,1.06173918585941e-08,2.81458529976467e-08,8.64347682738595
"ZNF467",-0.411741836734689,4.23418316326531,-5.97528048397788,1.062505561658e-08,2.81624423348701e-08,8.64277157794274
"FDXR",0.377120408163266,4.8698887755102,5.97474565343839,1.06545866338871e-08,2.82369802932478e-08,8.64005877229285
"CASP9",-0.286058163265307,5.48156989795918,-5.97288058955343,1.07581975486241e-08,2.85078004618502e-08,8.63059997664965
"CALY",-0.297310204081632,2.62147244897959,-5.97194545454228,1.08105183389973e-08,2.86426549246306e-08,8.62585814640062
"AQPEP",-0.182925510204082,2.67699540816327,-5.97084916021243,1.08721733237705e-08,2.8802201559785e-08,8.62029977285291
"YBX1",0.20304081632653,12.2024142857143,5.96907705949723,1.0972564150307e-08,2.90643101445327e-08,8.6113164553494
"C20orf30",0.339352040816323,10.6047219387755,5.96719022390846,1.10804525537284e-08,2.93462065056638e-08,8.60175354138096
"GFOD2",-0.281765306122447,5.71668265306122,-5.96497773421205,1.1208285288253e-08,2.96808432491174e-08,8.59054280511253
"LCLAT1",0.305207142857141,8.02064744897959,5.96458513100817,1.12311193966302e-08,2.97373797082598e-08,8.58855377647902
"CRYZ",0.698163265306123,6.34762551020408,5.96396239852021,1.12674314594266e-08,2.9829582982251e-08,8.58539903982662
"HMX2",-0.170984693877551,2.35079132653061,-5.96221323186031,1.13700428995597e-08,3.00972607567229e-08,8.57653905574005
"MGC29506",-1.21939387755102,5.60906734693878,-5.95949421611134,1.15313678417155e-08,3.05202658175566e-08,8.56277010974111
"BVES",-0.890575510204084,3.04805204081633,-5.95879374024651,1.15732902965036e-08,3.0627176289281e-08,8.55922364378604
"VWC2",-0.243884693877551,2.70138520408163,-5.95818130310608,1.16100660083694e-08,3.07204401460393e-08,8.55612314924669
"C9orf37",-0.303019387755103,4.07615765306122,-5.95679677956956,1.16936262963002e-08,3.09374558364742e-08,8.54911474197676
"TLK2",-0.262154081632658,6.54801173469388,-5.95611439583801,1.17350266136169e-08,3.1042887646981e-08,8.54566095610562
"MYADML2",0.357352040816327,2.65899846938776,5.95540841572631,1.17780095618578e-08,3.11524776277658e-08,8.5420880293906
"C14orf166",0.258269387755098,9.62019285714286,5.95503517055503,1.1800796501814e-08,3.12086278971406e-08,8.54019917470178
