"","value","group","gsm"
"GSM305244",939,"high","GSM305244"
"GSM305245",308.5,"low","GSM305245"
"GSM305246",37.9,"low","GSM305246"
"GSM305247",369.1,"low","GSM305247"
"GSM305248",413.4,"low","GSM305248"
"GSM305249",506.4,"low","GSM305249"
"GSM305250",406.4,"low","GSM305250"
"GSM305251",30.1,"low","GSM305251"
"GSM305252",53.5,"low","GSM305252"
"GSM305253",34.4,"low","GSM305253"
"GSM305254",784.9,"high","GSM305254"
"GSM305255",841.4,"high","GSM305255"
"GSM305256",1407.1,"high","GSM305256"
"GSM305257",562.6,"low","GSM305257"
"GSM305258",357.6,"low","GSM305258"
"GSM305259",404.1,"low","GSM305259"
"GSM305260",1077.5,"high","GSM305260"
"GSM305261",591.6,"high","GSM305261"
"GSM305262",153.2,"low","GSM305262"
"GSM305263",89.4,"low","GSM305263"
"GSM305264",204.4,"low","GSM305264"
"GSM308256",345.936,"low","GSM308256"
"GSM308257",452.484,"low","GSM308257"
"GSM308258",784.956,"high","GSM308258"
"GSM308259",619.2,"low","GSM308259"
"GSM308260",464.352,"low","GSM308260"
"GSM308261",493.56,"low","GSM308261"
"GSM308262",316.464,"low","GSM308262"
"GSM308263",1477.488,"high","GSM308263"
"GSM308264",753.432,"high","GSM308264"
"GSM308265",367.344,"low","GSM308265"
"GSM308266",330.72,"low","GSM308266"
"GSM308267",720.912,"high","GSM308267"
"GSM308268",329.484,"low","GSM308268"
"GSM308269",454.512,"low","GSM308269"
"GSM308270",668.376,"low","GSM308270"
"GSM308271",582.288,"low","GSM308271"
"GSM308272",1176.732,"high","GSM308272"
"GSM308273",530.832,"low","GSM308273"
"GSM308274",1506.18,"high","GSM308274"
"GSM308275",1448.364,"high","GSM308275"
"GSM308276",1640.484,"high","GSM308276"
"GSM308277",644.868,"low","GSM308277"
"GSM308278",689.544,"low","GSM308278"
"GSM308279",581.604,"low","GSM308279"
"GSM308280",981.78,"high","GSM308280"
"GSM308281",656.88,"low","GSM308281"
"GSM308282",321.612,"low","GSM308282"
"GSM308283",720.804,"high","GSM308283"
"GSM308284",736.884,"high","GSM308284"
"GSM308285",2021.916,"high","GSM308285"
"GSM308286",1065.156,"high","GSM308286"
"GSM308287",910.824,"high","GSM308287"
"GSM308288",728.424,"high","GSM308288"
"GSM308289",381.864,"low","GSM308289"
"GSM308290",545.532,"low","GSM308290"
"GSM308291",985.548,"high","GSM308291"
"GSM308292",449.58,"low","GSM308292"
"GSM308293",1059.636,"high","GSM308293"
"GSM308294",1542.984,"high","GSM308294"
"GSM308295",559.332,"low","GSM308295"
"GSM308296",1114.392,"high","GSM308296"
"GSM308297",1102.068,"high","GSM308297"
"GSM308298",691.656,"low","GSM308298"
"GSM308299",770.124,"high","GSM308299"
"GSM308300",637.08,"low","GSM308300"
"GSM308301",726.972,"high","GSM308301"
"GSM308302",720.06,"high","GSM308302"
"GSM308303",594.252,"low","GSM308303"
"GSM308304",848.016,"high","GSM308304"
"GSM308305",766.548,"high","GSM308305"
"GSM308306",1315.896,"high","GSM308306"
"GSM308307",470.256,"low","GSM308307"
"GSM308308",331.644,"low","GSM308308"
"GSM308309",282.744,"low","GSM308309"
"GSM308310",793.776,"high","GSM308310"
"GSM308311",1243.668,"high","GSM308311"
"GSM308312",706.992,"high","GSM308312"
"GSM308313",1122.108,"high","GSM308313"
"GSM308314",33.732,"low","GSM308314"
"GSM308315",458.172,"low","GSM308315"
"GSM308316",1443.408,"high","GSM308316"
"GSM308318",705.996,"high","GSM308318"
"GSM308319",406.164,"low","GSM308319"
"GSM308320",271.164,"low","GSM308320"
"GSM308321",497.904,"low","GSM308321"
"GSM308322",514.836,"low","GSM308322"
"GSM308323",946.26,"high","GSM308323"
"GSM308324",489.108,"low","GSM308324"
"GSM308325",304.836,"low","GSM308325"
"GSM308326",329.4,"low","GSM308326"
"GSM308327",879.42,"high","GSM308327"
"GSM308328",796.728,"high","GSM308328"
"GSM308329",421.86,"low","GSM308329"
"GSM308330",574.548,"low","GSM308330"
"GSM308331",754.32,"high","GSM308331"
"GSM308332",1592.052,"high","GSM308332"
"GSM308333",596.484,"low","GSM308333"
"GSM308334",1501.944,"high","GSM308334"
"GSM308335",541.644,"low","GSM308335"
"GSM308336",464.376,"low","GSM308336"
"GSM308337",622.224,"low","GSM308337"
"GSM308338",1059.588,"high","GSM308338"
"GSM308339",561.396,"low","GSM308339"
"GSM308340",684.744,"low","GSM308340"
"GSM308341",638.532,"low","GSM308341"
"GSM308342",402.576,"low","GSM308342"
"GSM308343",480.168,"low","GSM308343"
"GSM308344",530.772,"low","GSM308344"
"GSM308345",1164.828,"high","GSM308345"
"GSM308346",913.68,"high","GSM308346"
"GSM308347",664.272,"low","GSM308347"
"GSM308348",1284.84,"high","GSM308348"
"GSM308349",547.176,"low","GSM308349"
"GSM308350",496.848,"low","GSM308350"
"GSM308351",643.356,"low","GSM308351"
"GSM308352",699.576,"low","GSM308352"
"GSM308353",622.548,"low","GSM308353"
"GSM308354",888.996,"high","GSM308354"
"GSM308355",909.276,"high","GSM308355"
"GSM308356",645.996,"low","GSM308356"
"GSM308357",962.724,"high","GSM308357"
"GSM308358",744.708,"high","GSM308358"
"GSM308359",416.736,"low","GSM308359"
"GSM308360",830.352,"high","GSM308360"
