"","value","group","gsm"
"GSM447249",8.023,"low","GSM447249"
"GSM447250",8.039,"high","GSM447250"
"GSM447251",8.361,"high","GSM447251"
"GSM491175",195.033,"high","GSM491175"
"GSM491176",147.302,"low","GSM491176"
"GSM491177",142.615,"low","GSM491177"
"GSM491178",95.151,"low","GSM491178"
"GSM491179",32.955,"low","GSM491179"
"GSM491180",239.8,"high","GSM491180"
"GSM491181",138.926,"low","GSM491181"
"GSM491182",61.486,"low","GSM491182"
"GSM491183",131.31,"low","GSM491183"
"GSM491184",97.393,"low","GSM491184"
"GSM491185",172.108,"low","GSM491185"
"GSM491186",147.75,"low","GSM491186"
"GSM491187",90.92,"low","GSM491187"
"GSM491188",117.541,"low","GSM491188"
"GSM491189",142.244,"low","GSM491189"
"GSM491190",199.886,"high","GSM491190"
"GSM491191",99.65,"low","GSM491191"
"GSM491192",66.471,"low","GSM491192"
"GSM491193",43.12,"low","GSM491193"
"GSM491194",185.716,"low","GSM491194"
"GSM491195",70.944,"low","GSM491195"
"GSM491196",224.482,"high","GSM491196"
"GSM491197",232.667,"high","GSM491197"
"GSM491198",141.443,"low","GSM491198"
"GSM491199",229.892,"high","GSM491199"
"GSM491200",51.456,"low","GSM491200"
"GSM491201",179.578,"low","GSM491201"
"GSM491202",129.274,"low","GSM491202"
"GSM491203",190.854,"high","GSM491203"
"GSM491204",542.994,"high","GSM491204"
"GSM491205",177.047,"low","GSM491205"
"GSM491206",234.164,"high","GSM491206"
"GSM491207",276.523,"high","GSM491207"
"GSM491208",130.271,"low","GSM491208"
"GSM491209",140.825,"low","GSM491209"
"GSM491210",323.852,"high","GSM491210"
"GSM491211",169.757,"low","GSM491211"
"GSM491212",226.734,"high","GSM491212"
"GSM491213",245.426,"high","GSM491213"
"GSM491214",156.083,"low","GSM491214"
"GSM491215",109.818,"low","GSM491215"
"GSM491216",351.116,"high","GSM491216"
"GSM491217",218.83,"high","GSM491217"
"GSM491218",492.074,"high","GSM491218"
"GSM491219",266.117,"high","GSM491219"
"GSM491220",246.803,"high","GSM491220"
"GSM491221",238.353,"high","GSM491221"
"GSM491222",293.018,"high","GSM491222"
"GSM491223",146.999,"low","GSM491223"
"GSM491224",120.835,"low","GSM491224"
"GSM491225",154.205,"low","GSM491225"
"GSM491226",211.548,"high","GSM491226"
"GSM491227",284.179,"high","GSM491227"
"GSM491228",269.078,"high","GSM491228"
"GSM491229",291.402,"high","GSM491229"
"GSM491230",259.023,"high","GSM491230"
"GSM491231",185.912,"high","GSM491231"
"GSM491232",302.951,"high","GSM491232"
"GSM491233",141.501,"low","GSM491233"
"GSM491234",161.963,"low","GSM491234"
"GSM491235",250.537,"high","GSM491235"
"GSM491236",139.005,"low","GSM491236"
"GSM491237",201.861,"high","GSM491237"
"GSM491238",238.939,"high","GSM491238"
"GSM491239",271.394,"high","GSM491239"
"GSM491240",132.07,"low","GSM491240"
"GSM491241",106.215,"low","GSM491241"
"GSM491242",137.803,"low","GSM491242"
"GSM491243",429.327,"high","GSM491243"
"GSM491244",175.48,"low","GSM491244"
"GSM491245",408.221,"high","GSM491245"
"GSM491246",276.877,"high","GSM491246"
"GSM491247",154.988,"low","GSM491247"
"GSM491248",308.543,"high","GSM491248"
"GSM491249",228.829,"high","GSM491249"
"GSM491250",436.521,"high","GSM491250"
"GSM491251",176.534,"low","GSM491251"
"GSM491252",333.005,"high","GSM491252"
"GSM491253",219.776,"high","GSM491253"
"GSM491254",144.373,"low","GSM491254"
"GSM491255",262.781,"high","GSM491255"
"GSM491256",281.548,"high","GSM491256"
"GSM491257",237.346,"high","GSM491257"
"GSM491258",372.059,"high","GSM491258"
"GSM491259",171.804,"low","GSM491259"
"GSM491260",295.895,"high","GSM491260"
"GSM491261",276.176,"high","GSM491261"
"GSM491262",223.286,"high","GSM491262"
"GSM491263",397.112,"high","GSM491263"
"GSM491264",259.912,"high","GSM491264"
"GSM491265",450.423,"high","GSM491265"
"GSM491266",195.783,"high","GSM491266"
"GSM491267",620.596,"high","GSM491267"
"GSM491268",159.825,"low","GSM491268"
"GSM491269",254.316,"high","GSM491269"
"GSM491270",223.777,"high","GSM491270"
"GSM491271",105.654,"low","GSM491271"
"GSM491272",213.604,"high","GSM491272"
"GSM491273",106.89,"low","GSM491273"
"GSM491274",64.993,"low","GSM491274"
"GSM491275",147.603,"low","GSM491275"
"GSM491276",159.227,"low","GSM491276"
"GSM491277",105.724,"low","GSM491277"
"GSM491278",191.848,"high","GSM491278"
"GSM491279",207.694,"high","GSM491279"
"GSM491280",83.939,"low","GSM491280"
"GSM491281",44.722,"low","GSM491281"
"GSM491282",73.037,"low","GSM491282"
"GSM491283",65.162,"low","GSM491283"
"GSM491284",99.37,"low","GSM491284"
"GSM491285",105.052,"low","GSM491285"
"GSM491286",200.595,"high","GSM491286"
"GSM491287",54.275,"low","GSM491287"
"GSM491288",152.681,"low","GSM491288"
"GSM491289",64.808,"low","GSM491289"
"GSM36777",260.4,"low","GSM36777"
"GSM36778",92.3,"low","GSM36778"
"GSM36779",579.3,"low","GSM36779"
"GSM36780",464.2,"low","GSM36780"
"GSM36781",992.3,"high","GSM36781"
"GSM36782",698.5,"high","GSM36782"
"GSM36783",46.6,"low","GSM36783"
"GSM36784",84.9,"low","GSM36784"
"GSM36785",603.4,"low","GSM36785"
"GSM36786",95.7,"low","GSM36786"
"GSM36787",342.6,"low","GSM36787"
"GSM36788",95.3,"low","GSM36788"
"GSM36789",1138.9,"high","GSM36789"
"GSM36790",767.8,"high","GSM36790"
"GSM36791",524.9,"low","GSM36791"
"GSM36792",103.6,"low","GSM36792"
"GSM36793",1330.9,"high","GSM36793"
"GSM36794",899.3,"high","GSM36794"
"GSM36795",1065.7,"high","GSM36795"
"GSM36796",1175.6,"high","GSM36796"
"GSM36797",660.6,"high","GSM36797"
"GSM36798",670.6,"high","GSM36798"
"GSM36799",849.2,"high","GSM36799"
"GSM36800",817.7,"high","GSM36800"
"GSM36801",90.1,"low","GSM36801"
"GSM36802",121,"low","GSM36802"
"GSM36803",652.8,"high","GSM36803"
"GSM36804",279.1,"low","GSM36804"
"GSM36805",402.7,"low","GSM36805"
"GSM36806",562.6,"low","GSM36806"
"GSM36807",300.7,"low","GSM36807"
"GSM36808",528.9,"low","GSM36808"
"GSM36809",358.9,"low","GSM36809"
"GSM36810",164.4,"low","GSM36810"
"GSM36811",411.4,"low","GSM36811"
"GSM36812",746.9,"high","GSM36812"
"GSM36813",81.1,"low","GSM36813"
"GSM36814",221.6,"low","GSM36814"
"GSM36815",819.7,"high","GSM36815"
"GSM36816",628.2,"high","GSM36816"
"GSM36817",966.4,"high","GSM36817"
"GSM36818",472,"low","GSM36818"
"GSM36819",816.2,"high","GSM36819"
"GSM36820",465.8,"low","GSM36820"
"GSM36821",434.2,"low","GSM36821"
"GSM36822",1093.5,"high","GSM36822"
"GSM36823",350,"low","GSM36823"
"GSM36824",832.3,"high","GSM36824"
"GSM36825",949.2,"high","GSM36825"
"GSM36826",630.3,"high","GSM36826"
"GSM36827",820.1,"high","GSM36827"
"GSM36828",1292.8,"high","GSM36828"
"GSM36829",578.8,"low","GSM36829"
"GSM36830",874.4,"high","GSM36830"
"GSM36831",954.6,"high","GSM36831"
"GSM36832",844,"high","GSM36832"
"GSM36833",613.6,"low","GSM36833"
"GSM36834",514.3,"low","GSM36834"
"GSM36835",70.8,"low","GSM36835"
"GSM36836",674.9,"high","GSM36836"
"GSM36837",581.5,"low","GSM36837"
"GSM36838",879.6,"high","GSM36838"
"GSM36839",553.2,"low","GSM36839"
"GSM36840",1299.8,"high","GSM36840"
"GSM36841",66,"low","GSM36841"
"GSM36842",59.1,"low","GSM36842"
"GSM36843",491.1,"low","GSM36843"
"GSM36844",1024.8,"high","GSM36844"
"GSM36845",708,"high","GSM36845"
"GSM36846",657.7,"high","GSM36846"
"GSM36847",994.7,"high","GSM36847"
"GSM36848",1023.5,"high","GSM36848"
"GSM36849",453.1,"low","GSM36849"
"GSM36850",154.8,"low","GSM36850"
"GSM36851",980,"high","GSM36851"
"GSM36852",466.4,"low","GSM36852"
"GSM36853",782.7,"high","GSM36853"
"GSM36854",334.3,"low","GSM36854"
"GSM36855",728.7,"high","GSM36855"
"GSM36856",37.7,"low","GSM36856"
"GSM36857",449.9,"low","GSM36857"
"GSM36858",464.9,"low","GSM36858"
"GSM36859",766,"high","GSM36859"
"GSM36860",646.4,"high","GSM36860"
"GSM36861",504.1,"low","GSM36861"
"GSM36862",704.7,"high","GSM36862"
"GSM36863",780.1,"high","GSM36863"
"GSM36864",449,"low","GSM36864"
"GSM36865",1949.4,"high","GSM36865"
"GSM36866",1189,"high","GSM36866"
"GSM36867",697,"high","GSM36867"
"GSM36868",684.5,"high","GSM36868"
"GSM36869",1451.4,"high","GSM36869"
"GSM36870",418.5,"low","GSM36870"
"GSM36871",1279.5,"high","GSM36871"
"GSM36872",1652.4,"high","GSM36872"
"GSM36873",63,"low","GSM36873"
"GSM36874",615,"low","GSM36874"
"GSM36875",1329.8,"high","GSM36875"
"GSM36876",1635.6,"high","GSM36876"
"GSM36877",658.3,"high","GSM36877"
"GSM36878",693.4,"high","GSM36878"
"GSM36879",692.8,"high","GSM36879"
"GSM36880",1062.6,"high","GSM36880"
"GSM36881",719.6,"high","GSM36881"
"GSM36882",799.8,"high","GSM36882"
"GSM36883",831.6,"high","GSM36883"
"GSM36884",372.5,"low","GSM36884"
"GSM36885",893.7,"high","GSM36885"
"GSM36886",175.1,"low","GSM36886"
"GSM36887",737.2,"high","GSM36887"
"GSM36888",695.3,"high","GSM36888"
"GSM36889",959,"high","GSM36889"
"GSM36890",575.9,"low","GSM36890"
"GSM36891",558.8,"low","GSM36891"
"GSM36892",234.4,"low","GSM36892"
"GSM36893",1029.2,"high","GSM36893"
"GSM36894",432.1,"low","GSM36894"
"GSM36895",1055.3,"high","GSM36895"
"GSM36896",665.2,"high","GSM36896"
"GSM36897",258.4,"low","GSM36897"
"GSM36898",753.7,"high","GSM36898"
"GSM36899",775.1,"high","GSM36899"
"GSM36900",922.5,"high","GSM36900"
"GSM36901",35.5,"low","GSM36901"
"GSM36902",1337.5,"high","GSM36902"
"GSM36903",706.2,"high","GSM36903"
"GSM36904",1094.7,"high","GSM36904"
"GSM36905",1755.1,"high","GSM36905"
"GSM36906",287.9,"low","GSM36906"
"GSM36907",1492.2,"high","GSM36907"
"GSM36908",430,"low","GSM36908"
"GSM36909",700.5,"high","GSM36909"
"GSM36910",346.5,"low","GSM36910"
"GSM36911",35.1,"low","GSM36911"
"GSM36912",683.6,"high","GSM36912"
"GSM36913",86.7,"low","GSM36913"
"GSM36914",1354.5,"high","GSM36914"
"GSM36915",643.8,"high","GSM36915"
"GSM36916",608.1,"low","GSM36916"
"GSM36917",370.5,"low","GSM36917"
"GSM36918",1221.2,"high","GSM36918"
"GSM36919",351.5,"low","GSM36919"
"GSM36920",1800.1,"high","GSM36920"
"GSM36921",828.9,"high","GSM36921"
"GSM36922",1288.4,"high","GSM36922"
"GSM36923",398.7,"low","GSM36923"
"GSM36924",544.2,"low","GSM36924"
"GSM36925",964.9,"high","GSM36925"
"GSM36926",1024.6,"high","GSM36926"
"GSM36927",426.1,"low","GSM36927"
"GSM36928",1029.9,"high","GSM36928"
"GSM36929",2026,"high","GSM36929"
"GSM36930",815.1,"high","GSM36930"
"GSM36931",783.7,"high","GSM36931"
"GSM36932",832.9,"high","GSM36932"
"GSM36933",89,"low","GSM36933"
"GSM36934",489.8,"low","GSM36934"
"GSM36935",99.3,"low","GSM36935"
"GSM36936",500.2,"low","GSM36936"
"GSM36937",843.3,"high","GSM36937"
"GSM36938",1745.6,"high","GSM36938"
"GSM36939",1729.2,"high","GSM36939"
"GSM36940",362.9,"low","GSM36940"
"GSM36941",1267.3,"high","GSM36941"
"GSM36942",368.9,"low","GSM36942"
"GSM36943",547.8,"low","GSM36943"
"GSM36944",632.3,"high","GSM36944"
"GSM36945",554.9,"low","GSM36945"
"GSM36946",617,"high","GSM36946"
"GSM36947",880.9,"high","GSM36947"
"GSM36948",538,"low","GSM36948"
"GSM36949",90.5,"low","GSM36949"
"GSM36950",1096.4,"high","GSM36950"
"GSM36951",70.6,"low","GSM36951"
"GSM36952",81.8,"low","GSM36952"
"GSM36953",85.7,"low","GSM36953"
"GSM36954",490.2,"low","GSM36954"
"GSM36955",1072.1,"high","GSM36955"
"GSM36956",328.2,"low","GSM36956"
"GSM36957",231.8,"low","GSM36957"
"GSM36958",789.9,"high","GSM36958"
"GSM36959",355.8,"low","GSM36959"
"GSM36960",494.2,"low","GSM36960"
"GSM36961",234.8,"low","GSM36961"
"GSM36962",1127.4,"high","GSM36962"
"GSM36963",225.7,"low","GSM36963"
"GSM36964",796.8,"high","GSM36964"
"GSM36965",1425.6,"high","GSM36965"
"GSM36966",716.6,"high","GSM36966"
"GSM36967",604,"low","GSM36967"
"GSM36968",1308,"high","GSM36968"
"GSM36969",329,"low","GSM36969"
"GSM36970",323.2,"low","GSM36970"
"GSM36971",350.2,"low","GSM36971"
"GSM36972",324.8,"low","GSM36972"
"GSM36973",50.5,"low","GSM36973"
"GSM36974",689.8,"high","GSM36974"
"GSM36975",1121.3,"high","GSM36975"
"GSM36976",296.3,"low","GSM36976"
"GSM36977",174.4,"low","GSM36977"
"GSM36978",536.5,"low","GSM36978"
"GSM36979",705.4,"high","GSM36979"
"GSM36980",983,"high","GSM36980"
"GSM36981",446.9,"low","GSM36981"
"GSM36982",493.9,"low","GSM36982"
"GSM36983",742.2,"high","GSM36983"
"GSM36984",2470.2,"high","GSM36984"
"GSM36985",553.7,"low","GSM36985"
"GSM36986",508.5,"low","GSM36986"
"GSM36987",1054.6,"high","GSM36987"
"GSM36988",379,"low","GSM36988"
"GSM36989",111.1,"low","GSM36989"
"GSM36990",433.5,"low","GSM36990"
"GSM36991",355.4,"low","GSM36991"
"GSM36992",311.6,"low","GSM36992"
"GSM36993",1378.8,"high","GSM36993"
"GSM36994",539.9,"low","GSM36994"
"GSM36995",392.6,"low","GSM36995"
"GSM36996",360.3,"low","GSM36996"
"GSM36997",99.2,"low","GSM36997"
"GSM36998",508.6,"low","GSM36998"
"GSM36999",582.4,"low","GSM36999"
"GSM37000",720.5,"high","GSM37000"
"GSM37001",799,"high","GSM37001"
"GSM37002",80.5,"low","GSM37002"
"GSM37003",797.5,"high","GSM37003"
"GSM37004",741.7,"high","GSM37004"
"GSM37005",106.3,"low","GSM37005"
"GSM37006",65.8,"low","GSM37006"
"GSM37007",213.1,"low","GSM37007"
"GSM37008",649.5,"high","GSM37008"
"GSM37009",277.4,"low","GSM37009"
"GSM37010",276,"low","GSM37010"
"GSM37011",87.6,"low","GSM37011"
"GSM37012",93.5,"low","GSM37012"
"GSM37013",399.1,"low","GSM37013"
"GSM37014",701.6,"high","GSM37014"
"GSM37015",1565.7,"high","GSM37015"
"GSM37016",83.2,"low","GSM37016"
"GSM37017",580.9,"low","GSM37017"
"GSM37018",426.4,"low","GSM37018"
"GSM37019",1046.5,"high","GSM37019"
"GSM37020",1163.5,"high","GSM37020"
"GSM37021",936.5,"high","GSM37021"
"GSM37022",541.8,"low","GSM37022"
"GSM37023",496.2,"low","GSM37023"
"GSM37024",878.6,"high","GSM37024"
"GSM37025",52.1,"low","GSM37025"
"GSM37026",1273.3,"high","GSM37026"
"GSM37027",1332.5,"high","GSM37027"
"GSM37028",486.7,"low","GSM37028"
"GSM37029",724.9,"high","GSM37029"
"GSM37030",363.9,"low","GSM37030"
"GSM37031",96.4,"low","GSM37031"
"GSM37032",837.7,"high","GSM37032"
"GSM37033",477.7,"low","GSM37033"
"GSM37034",894.2,"high","GSM37034"
"GSM37035",645.6,"high","GSM37035"
"GSM37036",604.1,"low","GSM37036"
"GSM37037",84.8,"low","GSM37037"
"GSM37038",605.7,"low","GSM37038"
"GSM37039",640.4,"high","GSM37039"
"GSM37040",807.5,"high","GSM37040"
"GSM37041",967.4,"high","GSM37041"
"GSM37042",189.7,"low","GSM37042"
"GSM37043",728.4,"high","GSM37043"
"GSM37044",1032.1,"high","GSM37044"
"GSM37045",550.5,"low","GSM37045"
"GSM37046",413.5,"low","GSM37046"
"GSM37047",826.1,"high","GSM37047"
"GSM37048",857.5,"high","GSM37048"
"GSM37049",628.7,"high","GSM37049"
"GSM37050",774.7,"high","GSM37050"
"GSM37051",640.5,"high","GSM37051"
"GSM37052",946.9,"high","GSM37052"
"GSM37053",1971.6,"high","GSM37053"
"GSM37054",554.8,"low","GSM37054"
"GSM37055",1138,"high","GSM37055"
"GSM37056",1271.2,"high","GSM37056"
"GSM37057",465.1,"low","GSM37057"
"GSM37058",434.9,"low","GSM37058"
"GSM37059",434.2,"low","GSM37059"
"GSM37060",335.1,"low","GSM37060"
"GSM37061",887.4,"high","GSM37061"
"GSM37062",58.4,"low","GSM37062"
"GSM519117",9.39850334228688,"high","GSM519117"
"GSM519118",9.31971682736168,"high","GSM519118"
"GSM519119",10.2961457912829,"high","GSM519119"
"GSM519120",8.22869326338401,"low","GSM519120"
"GSM519121",8.589062817317,"low","GSM519121"
"GSM519122",9.95978174094881,"high","GSM519122"
"GSM519123",9.26445319945367,"high","GSM519123"
"GSM519124",8.53649859364172,"low","GSM519124"
"GSM519125",9.35211728263066,"high","GSM519125"
"GSM519126",9.19520963785233,"low","GSM519126"
"GSM519127",9.4136973975823,"high","GSM519127"
"GSM519128",8.61398487402768,"low","GSM519128"
"GSM519129",9.34068949588655,"high","GSM519129"
"GSM519130",8.39829584459527,"low","GSM519130"
"GSM519131",9.0580431604152,"low","GSM519131"
"GSM519132",9.13620610198764,"low","GSM519132"
"GSM519133",9.07474987626171,"low","GSM519133"
"GSM519134",8.41858018706176,"low","GSM519134"
"GSM519135",9.31242988291259,"high","GSM519135"
"GSM519136",8.83936337234735,"low","GSM519136"
"GSM519137",3.95137467095651,"low","GSM519137"
"GSM519138",8.12392887759056,"low","GSM519138"
"GSM519139",8.75557629110831,"low","GSM519139"
"GSM519140",9.00129496540467,"low","GSM519140"
"GSM519141",8.06863856989476,"low","GSM519141"
"GSM519142",9.47181337147617,"high","GSM519142"
"GSM519143",8.43133665734493,"low","GSM519143"
"GSM519144",9.63585820506735,"high","GSM519144"
"GSM519145",8.79338052022543,"low","GSM519145"
"GSM519146",9.54322113244812,"high","GSM519146"
"GSM519147",8.91384989370657,"low","GSM519147"
"GSM519148",9.7340709790266,"high","GSM519148"
"GSM519149",8.94794163033419,"low","GSM519149"
"GSM519150",9.49945566671246,"high","GSM519150"
"GSM519151",9.13103425274808,"low","GSM519151"
"GSM519152",9.05772931435523,"low","GSM519152"
"GSM519153",9.64333237549058,"high","GSM519153"
"GSM519154",8.5841896436198,"low","GSM519154"
"GSM519155",9.43517041265242,"high","GSM519155"
"GSM519156",9.73389892980573,"high","GSM519156"
"GSM519157",8.87630201527684,"low","GSM519157"
"GSM519158",8.31667136688682,"low","GSM519158"
"GSM519159",8.7847145583135,"low","GSM519159"
"GSM519160",8.37349678987546,"low","GSM519160"
"GSM519161",8.74583283001957,"low","GSM519161"
"GSM519162",9.05142028416617,"low","GSM519162"
"GSM519163",9.52672791218595,"high","GSM519163"
"GSM519164",9.61434620693001,"high","GSM519164"
"GSM519165",9.03320707575922,"low","GSM519165"
"GSM519166",10.4956890551052,"high","GSM519166"
"GSM519167",9.26506931674937,"high","GSM519167"
"GSM519168",9.4695389315316,"high","GSM519168"
"GSM519169",9.16455122184366,"low","GSM519169"
"GSM519170",8.34625079741628,"low","GSM519170"
"GSM519171",9.56598984738634,"high","GSM519171"
"GSM519172",9.00978161145476,"low","GSM519172"
"GSM519173",8.91307978847855,"low","GSM519173"
"GSM519174",9.66034788566498,"high","GSM519174"
"GSM519175",9.83154374979219,"high","GSM519175"
"GSM519176",9.84959709852767,"high","GSM519176"
"GSM519177",9.4141627280602,"high","GSM519177"
"GSM519178",10.1132517968837,"high","GSM519178"
"GSM519179",7.70871294800035,"low","GSM519179"
"GSM519180",9.33923549132899,"high","GSM519180"
"GSM519181",9.30768124167355,"high","GSM519181"
"GSM519182",7.39824827518901,"low","GSM519182"
"GSM519183",9.38862167973959,"high","GSM519183"
"GSM519184",9.22771485459765,"high","GSM519184"
"GSM519185",9.22568078787783,"high","GSM519185"
"GSM519186",9.64536318222827,"high","GSM519186"
"GSM519187",8.36456511851815,"low","GSM519187"
"GSM519188",9.05929120274879,"low","GSM519188"
"GSM519189",8.68789446525114,"low","GSM519189"
"GSM519190",8.48295593641133,"low","GSM519190"
"GSM519191",9.29161059579839,"high","GSM519191"
"GSM519192",8.85586885971196,"low","GSM519192"
"GSM519193",9.25583079756847,"high","GSM519193"
"GSM519194",8.96558116417944,"low","GSM519194"
"GSM519195",9.21289504050938,"low","GSM519195"
"GSM519196",8.88326974969828,"low","GSM519196"
"GSM519197",9.68923049655823,"high","GSM519197"
"GSM519198",9.22849770178996,"high","GSM519198"
"GSM519199",8.97585467860665,"low","GSM519199"
"GSM519200",9.27175824649915,"high","GSM519200"
"GSM519201",9.36340179498113,"high","GSM519201"
"GSM519202",9.01558686544942,"low","GSM519202"
"GSM519203",8.67981291038956,"low","GSM519203"
"GSM519204",9.71264261276829,"high","GSM519204"
"GSM519205",9.34736709552724,"high","GSM519205"
"GSM519206",9.76830685233438,"high","GSM519206"
"GSM519207",9.22133533079861,"high","GSM519207"
"GSM519208",9.53846572728983,"high","GSM519208"
"GSM519209",8.93767378502472,"low","GSM519209"
"GSM519210",9.72922198248207,"high","GSM519210"
"GSM519211",9.53157064609294,"high","GSM519211"
"GSM519212",9.49470514285927,"high","GSM519212"
"GSM519213",9.20523119343436,"low","GSM519213"
"GSM519214",9.34971611816634,"high","GSM519214"
"GSM519215",9.35272914193605,"high","GSM519215"
"GSM519216",9.23592143689146,"high","GSM519216"
"GSM519217",9.42270386866923,"high","GSM519217"
"GSM519218",9.35897508118184,"high","GSM519218"
"GSM519219",9.53072944678837,"high","GSM519219"
"GSM519220",8.6954462336553,"low","GSM519220"
"GSM519221",8.99821845349427,"low","GSM519221"
"GSM519222",9.23289141763906,"high","GSM519222"
"GSM519223",8.39494538371567,"low","GSM519223"
"GSM519224",9.02542681167804,"low","GSM519224"
"GSM519225",8.785002653188,"low","GSM519225"
"GSM519226",9.81996574285728,"high","GSM519226"
"GSM519227",9.37845105842545,"high","GSM519227"
"GSM519228",9.54687092759221,"high","GSM519228"
"GSM519229",9.84526913893271,"high","GSM519229"
"GSM519230",9.34213506276765,"high","GSM519230"
"GSM519231",8.79232410714505,"low","GSM519231"
"GSM519232",8.73314033884015,"low","GSM519232"
"GSM519233",9.18648283981006,"low","GSM519233"
"GSM519234",7.85858420602987,"low","GSM519234"
"GSM519235",9.03858154211493,"low","GSM519235"
"GSM519236",9.70746141464254,"high","GSM519236"
"GSM519237",7.22964580912277,"low","GSM519237"
"GSM519238",9.38589511312491,"high","GSM519238"
"GSM519239",8.32872314254753,"low","GSM519239"
"GSM519240",9.30600276126621,"high","GSM519240"
"GSM519241",7.26472182374586,"low","GSM519241"
"GSM519242",9.69186890123025,"high","GSM519242"
"GSM519243",8.85025808549724,"low","GSM519243"
"GSM519244",9.47344242899302,"high","GSM519244"
"GSM519245",10.0900372869814,"high","GSM519245"
"GSM519246",9.41272711965517,"high","GSM519246"
"GSM519247",8.80601748094746,"low","GSM519247"
"GSM519248",8.58167654963218,"low","GSM519248"
"GSM519249",9.06621531817826,"low","GSM519249"
"GSM519250",10.3694850748359,"high","GSM519250"
"GSM519251",8.58656256660224,"low","GSM519251"
"GSM519252",9.02104649805022,"low","GSM519252"
"GSM519253",9.85155795092226,"high","GSM519253"
"GSM519254",9.88330814236928,"high","GSM519254"
"GSM519255",8.5180063777078,"low","GSM519255"
"GSM519256",9.62373187936253,"high","GSM519256"
"GSM519257",8.72944341680568,"low","GSM519257"
"GSM519258",9.70543684293194,"high","GSM519258"
"GSM519259",9.39833960868714,"high","GSM519259"
"GSM519260",8.86017961893054,"low","GSM519260"
"GSM519261",9.78780413751072,"high","GSM519261"
"GSM519262",9.77223338348439,"high","GSM519262"
"GSM519263",9.31275377854275,"high","GSM519263"
"GSM519264",10.0616841877539,"high","GSM519264"
"GSM519265",9.59128216127876,"high","GSM519265"
"GSM519266",9.10334033012325,"low","GSM519266"
"GSM519267",8.99215815352723,"low","GSM519267"
"GSM519268",9.52109533291569,"high","GSM519268"
"GSM519269",9.72592068552754,"high","GSM519269"
"GSM519270",8.78443967455896,"low","GSM519270"
"GSM519271",8.56684134620629,"low","GSM519271"
"GSM519272",8.18231083347519,"low","GSM519272"
"GSM519273",8.16310737385959,"low","GSM519273"
"GSM519274",9.30614974345147,"high","GSM519274"
"GSM519275",9.29964836441984,"high","GSM519275"
"GSM519276",8.66857550860591,"low","GSM519276"
"GSM519277",9.16747182315755,"low","GSM519277"
"GSM519278",9.31162888011458,"high","GSM519278"
"GSM519279",9.17569887390914,"low","GSM519279"
"GSM519280",9.66222215428071,"high","GSM519280"
"GSM519281",8.7504608746316,"low","GSM519281"
"GSM519282",8.77429025289929,"low","GSM519282"
"GSM519283",9.06113865704997,"low","GSM519283"
"GSM519284",9.19679262516608,"low","GSM519284"
"GSM519285",9.71005140122172,"high","GSM519285"
"GSM519286",9.40253205528085,"high","GSM519286"
"GSM519287",9.23735280163179,"high","GSM519287"
"GSM519288",8.69228596010108,"low","GSM519288"
"GSM519289",9.53274418941857,"high","GSM519289"
"GSM519290",8.881293050946,"low","GSM519290"
"GSM519291",9.02574247139419,"low","GSM519291"
"GSM519292",9.27986444978483,"high","GSM519292"
"GSM519293",9.67296087235111,"high","GSM519293"
"GSM519294",8.43719862620829,"low","GSM519294"
"GSM519295",9.06482529221712,"low","GSM519295"
"GSM519296",8.61502395056666,"low","GSM519296"
"GSM519297",8.93271894660984,"low","GSM519297"
"GSM519298",7.77594375016599,"low","GSM519298"
"GSM519299",7.6678408539848,"low","GSM519299"
"GSM519300",9.25663075709191,"high","GSM519300"
"GSM519301",9.16069061880212,"low","GSM519301"
"GSM519302",9.54289045404343,"high","GSM519302"
"GSM519303",8.93170558632097,"low","GSM519303"
"GSM519304",8.37763483046084,"low","GSM519304"
"GSM519305",9.29917994174992,"high","GSM519305"
"GSM519306",9.16886743798913,"low","GSM519306"
"GSM519307",8.96911607817051,"low","GSM519307"
"GSM519308",9.09370273351738,"low","GSM519308"
"GSM519309",9.17870069280881,"low","GSM519309"
"GSM519310",8.54317907835672,"low","GSM519310"
"GSM519311",9.15219327326021,"low","GSM519311"
"GSM519312",8.99277952368114,"low","GSM519312"
"GSM519313",9.36500983708524,"high","GSM519313"
"GSM519314",9.24853998015635,"high","GSM519314"
"GSM519315",8.80231789220475,"low","GSM519315"
"GSM519316",9.42896718210503,"high","GSM519316"
"GSM519317",9.14747650816332,"low","GSM519317"
"GSM519318",8.81699885225209,"low","GSM519318"
"GSM519319",9.12891505979711,"low","GSM519319"
"GSM519320",9.53682209560568,"high","GSM519320"
"GSM519321",9.19443348292207,"low","GSM519321"
"GSM519322",9.32132314123414,"high","GSM519322"
"GSM519323",9.23908651534558,"high","GSM519323"
"GSM519324",9.03305039819825,"low","GSM519324"
"GSM519325",9.2258318693125,"high","GSM519325"
"GSM519326",9.69600750505976,"high","GSM519326"
"GSM519327",8.18125341728251,"low","GSM519327"
"GSM519328",8.85377453340163,"low","GSM519328"
"GSM519329",9.95740534219839,"high","GSM519329"
"GSM519330",8.86793141725463,"low","GSM519330"
"GSM519331",8.09579536522096,"low","GSM519331"
"GSM519332",8.87945315249418,"low","GSM519332"
"GSM519333",9.14624076669514,"low","GSM519333"
"GSM519334",6.9524259562459,"low","GSM519334"
"GSM519335",9.30414016495995,"high","GSM519335"
"GSM519336",9.59782629133722,"high","GSM519336"
